name,id,CDD,HDD,Tavg,Trange,Tmax,Tmin,Prcp,Snow
"Evansville, IN US",CITY:US180002,1403,4402,56.84,21.02,67.28,46.22,4879,122
"Fort Wayne, IN US",CITY:US180003,809,6102,50.54,19.76,60.26,40.64,3719,264
"Indianapolis, IN US",CITY:US180004,909,5704,51.98,19.04,61.34,42.44,4144,196
"South Bend, IN US",CITY:US180012,628,6622,48.56,21.92,59.540000000000006,37.58,4008,600
"Cedar Rapids, IA US",CITY:US190005,948,6304,50.36,20.48,60.440000000000005,40.1,3759,315
"Davenport, IA US",CITY:US190007,1128,5879,51.98,17.240000000000002,60.62,43.34,3706,316
"Des Moines, IA US",CITY:US190008,947,6587,49.46,22.46,60.62,38.3,3609,275
"Sioux City, IA US",CITY:US190017,870,6863,48.56,22.64,59.9,37.22,3134,334
"Waterloo, IA US",CITY:US190020,799,7028,47.84,21.02,58.459999999999994,37.4,3460,353
"Lawrence, KS US",CITY:US200008,1293,5259,54.14,21.02,64.75999999999999,43.519999999999996,3778,106
"Manhattan, KS US",CITY:US200011,1498,5156,55.04,24.439999999999998,67.28,42.620000000000005,3562,167
"Topeka, KS US",CITY:US200014,1345,5177,54.5,22.46,65.66,43.34,3772,136
"Wichita, KS US",CITY:US200015,1573,4650,56.66,23.18,68.18,44.96,3596,129
"Bowling Green, KY US",CITY:US210001,1493,4047,57.92,22.1,69.08,46.94,5243,81
"Lexington, KY US",CITY:US210008,1065,4702,55.04,20.3,65.12,44.96,4440,32
"Louisville, KY US",CITY:US210009,1169,4701,55.22,24.26,67.46,43.16,4526,57
"Owensboro, KY US",CITY:US210013,1759,3874,59.18,23.54,71.06,47.48,4688,87
"Baton Rouge, LA US",CITY:US220003,2446,1811,66.74000000000001,22.64,78.08,55.4,6259,-7777
"Lafayette, LA US",CITY:US220009,2729,1686,67.82,19.22,77.54,58.28,6333,-7777
"New Orleans, LA US",CITY:US220016,2655,1437,68.36,19.4,78.08,58.64,6250,-7777
"Shreveport, LA US",CITY:US220019,2453,2348,65.3,22.64,76.64,53.96,5644,3
"Augusta, ME US",CITY:US230001,345,7687,44.96,20.84,55.22,34.34,4618,651
"Bangor, ME US",CITY:US230002,428,7305,46.04,19.22,55.76,36.68,4039,711
"Lewiston, ME US",CITY:US230003,246,7996,43.879999999999995,20.66,54.14,33.44,4866,759
"Portland, ME US",CITY:US230004,360,7106,46.58,18.68,55.76,37.22,4725,619
"Waterville, ME US",CITY:US230005,356,7735,44.78,21.02,55.22,34.16,4617,844
"Annapolis, MD US",CITY:US240001,1681,3845,59.18,17.779999999999998,67.82,50.18,4727,80
"Baltimore, MD US",CITY:US240002,1681,3845,59.18,17.779999999999998,67.82,50.18,4727,80
"Cumberland, MD US",CITY:US240004,1175,4853,54.86,23.36,66.56,43.16,3736,289
"Hagerstown, MD US",CITY:US240007,789,5326,52.52,19.58,62.24,42.8,4727,326
"Boston, MA US",CITY:US250002,561,6392,48.92,20.48,59.18,38.839999999999996,4882,554
"Lowell, MA US",CITY:US250008,561,6392,48.92,20.48,59.18,38.839999999999996,4882,554
"Springfield, MA US",CITY:US250013,427,6719,47.66,20.48,57.92,37.58,4775,466
